Ticker,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Publish Date,Gross_Margin,Operating_Margin,Net_Margin,Debt_to_Equity,Operating_CF_Ratio,Return,MA5,MA20,Volume_Change,Market_Cap,Target,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Return_Lag1,Return_Lag2,Log_Return,Volatility_20,Return_norm,Return_norm_Lag1,Return_norm_Lag2
GOOG,2020-05-07,68.3,68.88,67.76,68.63,68.11,27995180,0.0,13652404260.0,,,,,,,0.018695782231528568,66.678,63.8365,0.15166407086257205,929865254148.6,0.011598884157979938,61.78818520489621,1.890020593980502,1.5148994113250933,68.70127034671893,58.97172965328107,-0.0028337061894108118,0.018377885783718018,0.018523164261274448,0.027093200224218232,0.6836831421899304,-0.10461231432856918,0.6723093781450256
GOOG,2020-05-08,69.16,69.94,68.77,69.42,68.9,27761360,0.0,13652404260.0,,,,,,,0.011598884157979938,67.352,64.2755,-0.00835215204903128,940650653514.0001,0.01074020319303326,66.09808102345416,2.030976847131228,1.6181148984863205,69.30981791230005,59.24118208769993,0.018695782231528568,-0.0028337061894108118,0.011532132766386084,0.02708732631860732,0.4257390571052493,0.6836831421899304,-0.10461231432856918
GOOG,2020-05-11,68.91,70.83,68.86,70.16,69.64,28242320,0.0,13652404260.0,,,,,,,0.01074020319303326,68.112,64.7365,0.017324799649584888,950753432666.4,-0.01967260195290066,77.29411764705881,2.1772989617406893,1.7299517111371943,69.96895449096311,59.50404550903691,0.011598884157979938,0.018695782231528568,0.010682936880375285,0.02709699082972999,0.3942480900371525,0.4257390571052493,0.6836831421899304
GOOG,2020-05-12,70.36,70.75,68.74,68.79,68.27,27812000,0.0,13652404260.0,,,,,,,-0.01967260195290066,68.35600000000001,65.00050000000002,-0.015236708599010274,932049638830.2,-0.01918851618573314,67.39401496259349,2.157838522055897,1.8155290733209348,70.3923006952077,59.60869930479234,0.01074020319303326,0.011598884157979938,-0.019868683469799385,0.02645229145665082,-0.7511138875193311,0.3942480900371525,0.4257390571052493
GOOG,2020-05-13,68.85,69.27,66.42,67.47,66.96,36251700,0.0,13652404260.0,,,,,,,-0.01918851618573314,68.376,65.216,0.3034553430174025,914164989249.6,0.005077658303464849,60.838323353293376,2.0134995619375644,1.8551231710442608,70.55652392462326,59.87547607537672,-0.01967260195290066,0.01074020319303326,-0.01937500524896908,0.026895012947893246,-0.7203939736525307,-0.7511138875193311,0.3942480900371525
GOOG,2020-05-14,66.75,67.87,66.2,67.81,67.3,32061540,0.0,13652404260.0,,,,,,,0.005077658303464849,68.214,65.446,-0.1155852001423382,918806806698.0,0.012481426448736954,61.278863232682035,1.904590125241569,1.8650165618837224,70.72616108207235,60.165838917927644,-0.01918851618573314,-0.01967260195290066,0.005064810469462334,0.026890820982551442,0.1883471863037845,-0.7203939736525307,-0.7511138875193311
GOOG,2020-05-15,67.5,68.72,66.95,68.66,68.14,34154940,0.0,13652404260.0,,,,,,,0.012481426448736954,68.062,65.669,0.06529318304735199,930274826276.4,0.0079248605811566,63.72437357630978,1.86456603523483,1.864926456553944,71.01147685510834,60.32652314489166,0.005077658303464849,-0.01918851618573314,0.012404175582138343,0.026826970725017097,0.46237704992054923,0.1883471863037845,-0.7203939736525307
GOOG,2020-05-18,68.09,69.62,67.71,69.2,68.68,36479280,0.0,13652404260.0,,,,,,,0.0079248605811566,67.86999999999999,65.96000000000001,0.06805282047047956,937647124576.8,-0.007571345369831284,73.31249999999999,1.855036437249666,1.8629484526930886,71.29226129576521,60.6277387042348,0.012481426448736954,0.005077658303464849,0.007893623796454433,0.02656220190443673,0.29717505441956404,0.46237704992054923,0.1883471863037845
GOOG,2020-05-19,69.35,69.6,68.67,68.67,68.16,25612980,0.0,13652404260.0,,,,,,,-0.007571345369831284,67.848,66.35,-0.2978759449199655,930547874361.6,0.02420774647887325,57.11727842435092,1.784948730141636,1.8473485081827983,71.06268836004962,61.63731163995037,0.0079248605811566,0.012481426448736954,-0.0076001535082146745,0.024569724898612085,-0.30933002056705966,0.29717505441956404,0.46237704992054923
GOOG,2020-05-20,69.48,70.52,69.36,70.34,69.81,33107500,0.0,13652404260.0,,,,,,,0.02420774647887325,68.418,66.706,0.2926063269482895,953074341390.6,-0.0028649190660364754,61.55698234349915,1.8413193444570766,1.846142675437654,71.32942046996648,62.08257953003353,-0.007571345369831284,0.0079248605811566,0.023919383461249773,0.023805377191393175,1.0047890973934166,-0.30933002056705966,0.29717505441956404
GOOG,2020-05-21,70.4,70.77,69.67,70.14,69.61,27560400,0.0,13652404260.0,,,,,,,-0.0028649190660364754,68.88,67.0195,-0.16754813863928109,950343860538.6,0.0054589857779054896,68.11722912966246,1.8485462434853588,1.846623389047195,71.53085864702696,62.50814135297302,0.02420774647887325,-0.007571345369831284,-0.0028690308017350436,0.023844001146028165,-0.12032505719842053,1.0047890973934166,-0.30933002056705966
GOOG,2020-05-22,69.84,70.64,69.59,70.52,69.99,26188160,0.0,13652404260.0,,,,,,,0.0054589857779054896,69.25,67.3445,-0.049790278805822874,955531774157.3999,0.0047149592798971796,68.3142100617828,1.863455680120211,1.8499898472617982,71.71973400877926,62.96926599122073,-0.0028649190660364754,0.02420774647887325,0.005444139520873205,0.023837940014364737,0.22838129123542422,-0.12032505719842053,1.0047890973934166
