Ticker,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Return,MA5,MA20,Volume_Change,Market_Cap,Target,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Return_Lag1,Return_Lag2,Log_Return,Volatility_20,Return_norm,Return_norm_Lag1,Return_norm_Lag2
GS,2020-05-07,179.18,183.38,179.18,182.32,158.25,2480030,0.0,343886589.0,0.0305418077624382,154.61599999999999,156.1335,0.030131822048541812,54420052709.25,0.01687203791469183,48.84406165004532,3.151333733743911,3.878215221444863,163.57202072164324,148.69497927835675,-0.00775394158697329,0.01289351397342764,0.030084690891688675,0.024386822620564283,1.2336453731499915,-0.28361145838101887,0.44078241793917705
GS,2020-05-08,185.03,185.91,182.74,185.39,160.92,2277311,0.0,343886589.0,0.01687203791469183,156.05599999999998,156.18300000000002,-0.08174054346116777,55338229901.88,-0.012055679840914713,54.92063492063489,3.3366660929502245,3.769905395745935,163.74012588084568,148.62587411915436,0.0305418077624382,-0.00775394158697329,0.016731286057301786,0.022931513165696613,0.7296198003335522,1.2336453731499915,-0.28361145838101887
GS,2020-05-11,182.54,184.85,181.26,183.16,158.98,2212201,0.0,343886589.0,-0.012055679840914713,157.294,156.3555,-0.028590737057872184,54671089919.21999,-0.03245691281922247,60.06944444444443,3.2890869887050087,3.6737417143377504,164.0067798379026,148.7042201620974,0.01687203791469183,0.0305418077624382,-0.012128938936620858,0.022169092113581295,-0.5471103135157435,0.7296198003335522,1.2336453731499915
GS,2020-05-12,183.89,184.3,176.75,177.21,153.82,3544241,0.0,343886589.0,-0.03245691281922247,157.106,156.3115,0.6021333504505242,52896635119.979996,-0.030555194383044992,51.227345721495745,2.8027035082997145,3.4995340731301434,164.0128225795109,148.6101774204891,-0.012055679840914713,0.01687203791469183,-0.03299532051605876,0.023418845325777572,-1.4089217490044301,-0.5471103135157435,0.7296198003335522
GS,2020-05-13,175.66,176.88,170.76,171.8,149.12,3442334,0.0,343886589.0,-0.030555194383044992,156.21800000000002,156.01999999999998,-0.028752841581596744,51280368151.68,0.015423819742489187,47.03032855939344,2.0147654138705207,3.2025803412782192,164.35368308037988,147.68631691962008,-0.03245691281922247,-0.012055679840914713,-0.031031736691626566,0.024396777227951857,-1.271960488948225,-1.4089217490044301,-0.5471103135157435
GS,2020-05-14,169.04,174.78,165.36,174.45,151.42,4174949,0.0,343886589.0,0.015423819742489187,154.85199999999998,155.90749999999997,0.2128250774038778,52071307306.38,-0.014793290186236874,47.7022249948014,1.5579504918662224,2.87365437139582,164.43328966862796,147.38171033137198,-0.030555194383044992,-0.03245691281922247,0.015306081737879434,0.024641623803276072,0.6211474479147153,-1.271960488948225,-1.4089217490044301
GS,2020-05-15,173.48,174.09,170.58,171.87,149.18,2864898,0.0,343886589.0,-0.014793290186236874,152.504,155.403,-0.31378850376375855,51301001347.020004,0.05825177637753054,38.65621500559909,1.0036031826962528,2.4996441336559068,164.27798696811493,146.52801303188505,0.015423819742489187,-0.030555194383044992,-0.014903802148143299,0.023254481907550736,-0.6409002018361041,0.6211474479147153,-1.271960488948225
GS,2020-05-18,177.71,183.1,175.24,181.88,157.87,4505503,0.0,343886589.0,0.051790378410475034,152.28199999999998,155.4675,0.5726573860570254,54289375805.43,-0.022296826502818834,45.57917742896881,1.2510677902389489,2.2499288649725155,164.39708624608753,146.53791375391248,-0.014793290186236874,0.015423819742489187,0.056618279016618325,0.026557710218905056,2.1318961066272464,-0.6409002018361041,0.6211474479147153
GS,2020-05-19,180.56,182.19,177.72,177.83,154.35,2209890,0.0,343886589.0,-0.022296826502818834,152.388,155.642,-0.5095131442593646,53078895012.15,0.020343375445416312,39.664259223111436,1.1498954139235025,2.029922174762713,164.3254860814258,146.9585139185742,0.051790378410475034,-0.014793290186236874,-0.022549158595467234,0.025651165106050304,-0.8790695667133107,2.1318961066272464,-0.6409002018361041
GS,2020-05-20,180.95,183.83,180.3,181.44,157.49,2598114,0.0,343886589.0,0.020343375445416312,154.06199999999998,155.879,0.17567571236577395,54158698901.61,-0.007429043113848621,48.23190789473684,1.3080094163667013,1.8855396230835109,164.4885660383332,147.26943396166678,-0.022296826502818834,0.051790378410475034,0.02013921323832105,0.02588608572160415,0.7779937629393368,-0.8790695667133107,2.1318961066272464
GS,2020-05-21,180.2,181.17,177.68,180.1,156.32,2153346,0.0,343886589.0,-0.007429043113848621,155.042,156.098,-0.1711887931014574,53756351592.479996,-0.0008955987717501612,52.93321299638989,1.323648484761037,1.7731613954190162,164.5061604471646,147.68983955283542,0.020343375445416312,-0.022296826502818834,-0.007456775892016819,0.025920266209035626,-0.2876813004882426,0.7779937629393368,-0.8790695667133107
GS,2020-05-22,180.03,180.64,178.06,179.93,156.18,2174148,0.0,343886589.0,-0.0008955987717501612,156.442,156.2255,0.00966031469164741,53708207470.020004,0.0896401587911384,53.89386629910408,1.3096489117394015,1.6804588986830933,164.55303321660648,147.89796678339354,-0.007429043113848621,0.020343375445416312,-0.0008960000599435072,0.02582392325016771,-0.034696511884099106,-0.2876813004882426,0.7779937629393368
GS,2020-05-26,185.63,197.1,185.22,196.06,170.18,5967436,0.0,343886589.0,0.051790378410475034,158.904,156.769,1.565302607272292,58522619716.020004,0.06933834763191915,63.87688984881212,2.4005649281840817,1.8244801045832912,167.11774190166943,146.42025809833058,-0.0008955987717501612,-0.007429043113848621,0.08584751218688225,0.031219170475105647,2.7498332236385834,-0.034696511884099106,-0.2876813004882426
GS,2020-05-27,203.0,210.71,200.01,209.66,181.98,8173595,0.0,343886589.0,0.051790378410475034,164.43,157.752,0.3696996498998899,62580481466.21999,-0.040224200461589144,71.47823458282951,4.16922488490647,2.2934290606479273,172.92929134699534,142.57470865300468,0.051790378410475034,-0.0008955987717501612,0.06704009050713347,0.034202503427238955,1.9600930864535075,2.7498332236385834,-0.034696511884099106
