Ticker,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Publish Date,Gross_Margin,Operating_Margin,Net_Margin,Debt_to_Equity,Operating_CF_Ratio,Return,MA5,MA20,Volume_Change,Market_Cap,Target,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Return_Lag1,Return_Lag2,Log_Return,Volatility_20,Return_norm,Return_norm_Lag1,Return_norm_Lag2
AVGO,2020-05-07,27.0,27.05,26.6,26.77,23.43,18247050,0.0,4021031060.0,,,,,,,0.01384681955863254,23.076,22.9775,-0.1972236606096015,94212757735.8,0.02688860435339313,51.1854951185495,0.25150731891681133,0.25076863928343546,24.088836322205225,21.866163677794773,-0.002589555459646231,0.009586056644880214,0.013751828233414844,0.027681314201889608,0.49679101696971106,-0.09159000882298929,0.33724710050148377
AVGO,2020-05-08,27.22,27.55,27.0,27.5,24.06,16767000,0.0,4021031060.0,,,,,,,0.02688860435339313,23.344,23.068,-0.08111174134997168,96746007303.59999,0.0012468827930174342,60.22408963585433,0.3068168776568605,0.2619782869581205,24.22379273319453,21.912207266805474,0.01384681955863254,-0.002589555459646231,0.026533458026828573,0.027438566535963844,0.9670132727980181,0.49679101696971106,-0.09159000882298929
AVGO,2020-05-11,27.34,27.67,27.18,27.54,24.09,20850970,0.0,4021031060.0,,,,,,,0.0012468827930174342,23.572000000000003,23.1355,0.24357189717898242,96866638235.4,-0.024906600249066102,69.39102564102564,0.34904725128331293,0.279392079823159,24.36591242550704,21.90508757449296,0.02688860435339313,0.01384681955863254,0.0012461060802471558,0.027116888772202016,0.04595313609592854,0.9670132727980181,0.49679101696971106
AVGO,2020-05-12,27.66,27.77,26.82,26.84,23.49,18763820,0.0,4021031060.0,,,,,,,-0.024906600249066102,23.636,23.139499999999998,-0.10009846064715455,94454019599.4,-0.020008514261387722,56.49913344887348,0.33029273203015563,0.28957221026455837,24.374182571607612,21.904817428392384,0.0012468827930174342,0.02688860435339313,-0.025222017955958673,0.02707675388392966,-0.9315008019084668,0.04595313609592854,0.9670132727980181
AVGO,2020-05-13,27.01,27.03,25.94,26.32,23.02,21927400,0.0,4021031060.0,,,,,,,-0.020008514261387722,23.618,23.1645,0.16859999722870933,92564135001.2,0.01303214596003488,53.00813008130082,0.2743421231334615,0.286526192838339,24.366173832618493,21.962826167381508,-0.024906600249066102,0.0012468827930174342,-0.020211395377084735,0.025968133800024513,-0.7783152818269004,-0.9315008019084668,0.04595313609592854
AVGO,2020-05-14,26.1,26.7,25.48,26.66,23.32,19911930,0.0,4021031060.0,,,,,,,0.01303214596003488,23.595999999999997,23.200499999999998,-0.09191559418809347,93770444319.2,-0.023156089193825058,51.264755480607064,0.2513113939621654,0.2794832330631043,24.37377207774713,22.027227922252866,-0.020008514261387722,-0.024906600249066102,0.012947958188555169,0.026099550732988218,0.49609889154872505,-0.7783152818269004,-0.9315008019084668
AVGO,2020-05-15,25.94,26.41,25.68,26.04,22.78,21654220,0.0,4021031060.0,,,,,,,-0.023156089193825058,23.339999999999996,23.176499999999997,0.08749980539304825,91599087546.8,0.05048287971905174,44.22764227642279,0.18732650479420343,0.26105188740932417,24.36419613338731,21.988803866612685,0.01303214596003488,-0.020008514261387722,-0.023428403463255563,0.025843945412499753,-0.906533545451776,0.49609889154872505,-0.7783152818269004
AVGO,2020-05-18,26.86,27.67,26.8,27.35,23.93,26537230,0.0,4021031060.0,,,,,,,0.05048287971905174,23.308,23.243,0.22549923294397112,96223273265.8,-0.005850396991224471,55.523672883787654,0.2267990103772064,0.25420131200290064,24.44365070077153,22.042349299228466,-0.023156089193825058,0.01303214596003488,0.04924994390124582,0.027285521127494324,1.8049845436750331,-0.906533545451776,0.49609889154872505
AVGO,2020-05-19,27.35,27.6,27.16,27.2,23.79,18701790,0.0,4021031060.0,,,,,,,-0.005850396991224471,23.368000000000002,23.349,-0.29526216564426655,95660328917.4,0.02480033627574607,47.058823529411775,0.24397206733964794,0.2521554630702501,24.316642822315636,22.381357177684365,0.05048287971905174,-0.023156089193825058,-0.005867577605415714,0.025279552333740175,-0.23210765475401085,1.8049845436750331,-0.906533545451776
AVGO,2020-05-20,27.7,28.13,27.61,27.87,24.38,18605400,0.0,4021031060.0,,,,,,,0.02480033627574607,23.64,23.431,-0.005154052098756301,98032737242.8,-0.013945857260049266,54.90506329113922,0.3017119602037823,0.26206676249695654,24.457509671295494,22.404490328704508,-0.005850396991224471,0.05048287971905174,0.024497799738259118,0.023633604154321895,1.0365663898867996,-0.23210765475401085,1.8049845436750331
