Ticker,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Publish Date,Gross_Margin,Operating_Margin,Net_Margin,Debt_to_Equity,Operating_CF_Ratio,Return,MA5,MA20,Volume_Change,Market_Cap,Target,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Return_Lag1,Return_Lag2,Log_Return,Volatility_20,Return_norm,Return_norm_Lag1,Return_norm_Lag2
MSFT,2020-05-07,184.17,184.55,182.58,183.6,174.39,28315992,0.0,7583440247.0,,,,,,,0.005806946422701964,180.06199999999998,174.7525,-0.1189604975516112,1392319629349.2,0.00588235294117645,55.04846526655895,3.663568095334341,2.8176967413247374,185.13216813180054,164.37283186819946,0.009847311352068955,0.010735853276671925,0.005790151097658937,0.023811963537937283,0.24316142969201396,0.41112542726503754,0.4433802982410223
MSFT,2020-05-08,184.98,185.0,183.36,184.68,175.41,30912638,0.0,7583440247.0,,,,,,,0.00588235294117645,182.084,175.72949999999997,0.09170245563001989,1400509744815.96,0.0111544292830843,60.2209944751381,3.954028012656096,3.044962995591009,185.97714614821115,165.4818538517888,0.005806946422701964,0.009847311352068955,0.005865119452398058,0.023780078064970116,0.246640041986987,0.24316142969201396,0.41112542726503754
MSFT,2020-05-11,183.15,187.51,182.85,186.74,177.37,30892660,0.0,7583440247.0,,,,,,,0.0111544292830843,183.66400000000002,176.791,-0.0006462728933066542,1416131631724.78,-0.022651815358252225,72.58834765998085,4.300866659986184,3.2961437284700446,186.97948658768163,166.60251341231836,0.00588235294117645,0.005806946422701964,0.011092677416991709,0.023796777880499106,0.46614199084834484,0.246640041986987,0.24316142969201396
MSFT,2020-05-12,186.8,187.04,182.3,182.51,173.35,32038199,0.0,7583440247.0,,,,,,,-0.022651815358252225,184.014,177.2315,0.03708126784809074,1384053679479.97,-0.015122459043340086,61.12348428606775,4.186157718036952,3.474146526383426,187.6171870639103,166.84581293608971,0.0111544292830843,0.00588235294117645,-0.022912309013850708,0.02242834069946997,-1.0215784270832027,0.46614199084834484,0.246640041986987
MSFT,2020-05-13,182.55,184.05,176.54,179.75,170.73,44711488,0.0,7583440247.0,,,,,,,-0.015122459043340086,183.456,177.625,0.3955680842109759,1363123384398.25,0.00433936022253123,60.14122230338446,3.8284095986404054,3.544999140834822,187.7500528263729,167.4999471736271,-0.022651815358252225,0.0111544292830843,-0.015237969440773162,0.022595992546841054,-0.6743660146455238,-1.0215784270832027,0.46614199084834484
MSFT,2020-05-14,177.54,180.69,175.68,180.53,171.47,41873911,0.0,7583440247.0,,,,,,,0.00433936022253123,182.842,177.79950000000002,-0.0634641593677222,1369038467790.91,0.014568215809006801,57.7221074380165,3.566716233316754,3.5493425593312082,188.0021012678914,167.59689873210866,-0.015122459043340086,-0.022651815358252225,0.004329972347410582,0.021674612396359608,0.19977161612993036,-0.6743660146455238,-1.0215784270832027
MSFT,2020-05-15,179.06,187.06,177.0,183.16,173.97,46610382,0.0,7583440247.0,,,,,,,0.014568215809006801,182.53799999999998,178.0275,0.11311269682929792,1388982915640.52,0.009554487879449569,61.1505507955936,3.530840049848706,3.545642057434708,188.50551281883062,167.54948718116938,0.00433936022253123,-0.015122459043340086,0.01446311884032798,0.021819206419578102,0.6628618182625745,0.19977161612993036,-0.6743660146455238
MSFT,2020-05-18,185.75,186.2,183.96,184.91,175.63,35306620,0.0,7583440247.0,,,,,,,0.009554487879449569,182.17199999999997,178.51999999999998,-0.24251596993991598,1402253936072.77,-0.006922286517765386,69.681960375391,3.6020955750535393,3.556932760958474,189.33137996937046,167.7086200306295,0.014568215809006801,0.00433936022253123,0.009509132429999985,0.021296231339929833,0.4465171456026884,0.6628618182625745,0.19977161612993036
MSFT,2020-05-19,185.03,186.6,183.49,183.63,174.42,26799116,0.0,7583440247.0,,,,,,,-0.006922286517765386,182.39600000000002,179.3105,-0.24096059039352957,1392547132556.6099,0.01105483853400857,59.68144909431602,3.514764769159285,3.5484991625986364,189.0905279302152,169.5304720697848,0.009554487879449569,0.014568215809006801,-0.006946356687806607,0.01867437403065422,-0.3719726656649414,0.4465171456026884,0.6628618182625745
MSFT,2020-05-20,184.81,185.85,183.94,185.66,176.83,31261334,0.51,7583440247.0,,,,,,,0.01105483853400857,183.578,179.9175,0.1665061638600318,1407941516258.02,-0.012011203274803317,59.993802293151504,3.5682262201633534,3.55244457411158,189.69125405977928,170.1437459402207,-0.006922286517765386,0.009554487879449569,0.010994180440698302,0.017483513695445884,0.6288312882759987,-0.3719726656649414,0.4465171456026884
