Ticker,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Publish Date,Gross_Margin,Operating_Margin,Net_Margin,Debt_to_Equity,Operating_CF_Ratio,Return,MA5,MA20,Volume_Change,Market_Cap,Target,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Return_Lag1,Return_Lag2,Log_Return,Volatility_20,Return_norm,Return_norm_Lag1,Return_norm_Lag2
ABBV,2020-05-07,86.52,86.84,83.56,84.22,66.96,11929115,0.0,1476742215.0,,,,,,,-0.014134275618374659,66.74,65.6575,-0.29992754035266433,98882658716.4,-0.0031362007168458383,51.97923426346527,1.529506960510929,1.534761099844452,68.57834252444933,62.73665747555068,0.0005892751915146377,0.03732694932415757,-0.014235115821872098,0.020031176338019614,-0.7106480209479028,0.02784271275337893,1.9803710889763002
ABBV,2020-05-08,84.42,84.66,82.45,83.96,66.75,20187009,0.0,1476742215.0,,,,,,,-0.0031362007168458383,66.918,65.8695,0.6922469940142248,98572542851.25,0.047041198501872605,49.90125082290981,1.4613689620426698,1.5200826722840957,68.4205243556575,63.3184756443425,-0.014134275618374659,0.0005892751915146377,-0.0031411289008609297,0.019926601399193413,-0.15763495429722782,-0.7106480209479028,0.02784271275337893
ABBV,2020-05-11,85.08,88.46,83.98,87.9,69.89,19213187,0.0,1476742215.0,,,,,,,0.03732694932415757,67.88,66.217,-0.04824003397432475,103209513406.35,0.02904564315352709,69.43005181347151,1.6418150434473944,1.5444291465167554,68.97300855548283,63.46099144451716,-0.0031362007168458383,-0.014134275618374659,0.04596828020867869,0.02209694662550464,2.0803000970107512,-0.15763495429722782,-0.7106480209479028
ABBV,2020-05-12,90.0,92.23,88.47,90.46,71.92,23453079,0.0,1476742215.0,,,,,,,0.02904564315352709,68.688,66.548,0.22067614290122717,106207300102.8,-0.017519466073414924,71.54912597950573,1.9264173574431425,1.6208267887020331,70.26343352999207,62.83256647000794,0.03732694932415757,-0.0031362007168458383,0.028631812674327295,0.0215508408135891,1.3285705612132412,2.0803000970107512,-0.15763495429722782
ABBV,2020-05-13,90.74,92.24,87.73,88.87,70.66,23558050,0.0,1476742215.0,,,,,,,-0.017519466073414924,69.23599999999999,66.82849999999999,0.00447578759275058,104346604911.9,0.012029436739315225,65.61242093156984,2.0269300837082653,1.7020474477032796,70.8979511462332,62.75904885376679,0.02904564315352709,0.03732694932415757,-0.017674748232365693,0.02205981728814152,-0.8012191579604304,1.3285705612132412,2.0803000970107512
ABBV,2020-05-14,87.62,90.48,87.43,89.94,71.51,13370560,0.0,1476742215.0,,,,,,,0.012029436739315225,70.146,67.15,-0.4324419890440847,105601835794.65001,0.008530275485945982,64.84420928865376,2.150386720141526,1.7917153021909291,71.63280926957285,62.66719073042717,-0.017519466073414924,0.02904564315352709,0.011957658129305616,0.02210874558664109,0.5408564715915348,-0.8012191579604304,1.3285705612132412
ABBV,2020-05-15,90.01,91.15,89.42,90.71,72.12,13625066,0.0,1476742215.0,,,,,,,0.008530275485945982,71.22,67.4385,0.019034804824928697,106502648545.8,0.008458125346644474,64.29850746268657,2.2712671421887762,1.8876256701904988,72.4195219834889,62.457478016511104,0.012029436739315225,-0.017519466073414924,0.0084940982748119,0.02186317333346358,0.38851168333422614,0.5408564715915348,-0.8012191579604304
ABBV,2020-05-18,92.0,93.66,91.31,91.47,72.73,16300249,0.0,1476742215.0,,,,,,,0.008458125346644474,71.788,67.736,0.19634275533050638,107403461296.95001,-0.003024886566753704,71.8888186986734,2.388751607984318,1.9878508577492628,73.23521487219094,62.23678512780907,0.008530275485945982,0.012029436739315225,0.008422555831332801,0.021878394949359118,0.38497137705156576,0.38851168333422614,0.5408564715915348
ABBV,2020-05-19,91.26,91.65,89.56,91.2,72.51,9889913,0.0,1476742215.0,,,,,,,-0.003024886566753704,71.90599999999999,68.167,-0.39326613967676194,107078578009.65001,-0.00013791201213630977,69.37704918032789,2.4360257437730297,2.0774858349540164,73.74761720789486,62.58638279210514,0.008458125346644474,0.008530275485945982,-0.003029470782947952,0.018792344174641745,-0.16120771069294795,0.38497137705156576,0.38851168333422614
ABBV,2020-05-20,92.13,92.54,89.9,91.19,72.5,10659052,0.0,1476742215.0,,,,,,,-0.00013791201213630977,72.274,68.5535,0.07777004711770474,107063810587.5,0.020137931034482692,75.46362339514974,2.444505186413494,2.150889705245912,74.21367025966715,62.89332974033284,-0.003024886566753704,0.008458125346644474,-0.0001379215228722954,0.018761815508199785,-0.007351182129043817,-0.16120771069294795,0.38497137705156576
ABBV,2020-05-21,91.28,93.13,90.35,93.02,73.96,10391367,0.0,1476742215.0,,,,,,,0.020137931034482692,72.76400000000001,68.99,-0.025113396575980662,109219854221.4,-0.009870200108166416,77.03604806408539,2.5397582518849333,2.2286634145737163,74.91145430216523,63.068545697834764,-0.00013791201213630977,-0.003024886566753704,0.01993784465829494,0.01903220827977484,1.047584408766822,-0.007351182129043817,-0.16120771069294795
ABBV,2020-05-22,92.87,93.01,91.73,92.1,73.23,5505076,0.0,1476742215.0,,,,,,,-0.009870200108166416,72.98600000000002,69.3285,-0.47022600587583907,108141832404.45001,-0.015157722244981575,77.29403884795714,2.527209989768423,2.2883727296126577,75.41277230436671,63.244227695633306,0.020137931034482692,-0.00013791201213630977,-0.009919233445945544,0.019125659289921527,-0.5186348504687935,1.047584408766822,-0.007351182129043817
ABBV,2020-05-26,93.45,93.57,90.31,90.71,72.12,11867570,0.0,1476742215.0,,,,,,,-0.015157722244981575,72.864,69.568,1.1557504383227406,106502648545.8,-0.008042151968940647,66.01208459214504,2.4000316078849124,2.3107045052671085,75.69796986341004,63.43803013658996,-0.009870200108166416,0.020137931034482692,-0.015273774737861881,0.019532032389301908,-0.7819859415258619,-0.5186348504687935,1.047584408766822
ABBV,2020-05-27,90.54,91.0,88.56,89.98,71.54,12528416,0.0,1476742215.0,,,,,,,-0.008042151968940647,72.67,69.85499999999999,0.05568503071816733,105646138061.1,0.0005591277606931122,63.13497822931787,2.2267718316754923,2.2939179705487853,75.77609698228999,63.933903017709994,-0.015157722244981575,-0.009870200108166416,-0.008074664504244834,0.01873885595591159,-0.4309048814528883,-0.7819859415258619,-0.5186348504687935
ABBV,2020-05-28,90.87,91.19,90.0,90.03,71.58,8765907,0.0,1476742215.0,,,,,,,0.0005591277606931122,72.48600000000002,70.10400000000001,-0.3003180130672545,105705207749.7,0.02933780385582585,67.96267496111979,2.0688415587857634,2.248902688196181,75.86544499418785,64.34255500581217,-0.008042151968940647,-0.015157722244981575,0.0005589715070078591,0.01866008550822796,0.02995546332096853,-0.4309048814528883,-0.7819859415258619
ABBV,2020-05-29,91.0,92.89,89.6,92.67,73.68,13758733,0.0,1476742215.0,,,,,,,0.02933780385582585,72.42999999999999,70.52000000000001,0.5695732341216944,108806366401.20001,-0.02130836047774165,73.49152542372885,2.0890518400398435,2.2169325185649136,76.03540999096356,65.00459000903646,0.0005591277606931122,-0.008042151968940647,0.028915686609171855,0.018695373185883466,1.5466760851292105,0.02995546332096853,-0.4309048814528883
ABBV,2020-06-01,92.05,93.06,90.69,90.7,72.11,8483116,0.0,1476742215.0,,,,,,,-0.02130836047774165,72.20599999999999,70.83250000000001,-0.38343770462004023,106487881123.65,0.00374427957287482,58.42185128983307,1.955837082161537,2.1647134312842384,75.92848758570739,65.73651241429263,0.02933780385582585,0.0005591277606931122,-0.021538661018383316,0.019673034515722842,-1.0948316591001481,1.5466760851292105,0.02995546332096853
ABBV,2020-06-02,90.97,91.7,90.05,91.04,72.38,9410732,0.0,1476742215.0,,,,,,,0.00374427957287482,72.258,71.19749999999999,0.10934849882991116,106886601521.7,-0.001657916551533467,52.014010507880876,1.85071626522371,2.101913998072133,75.55016826815816,66.84483173184182,-0.02130836047774165,0.02933780385582585,0.003737287206928267,0.01929196256812764,0.19372249939478214,-1.0948316591001481,1.5466760851292105
ABBV,2020-06-03,91.47,91.5,89.6,90.89,72.26,8584992,0.0,1476742215.0,,,,,,,-0.001657916551533467,72.402,71.4165,-0.087744502765566,106709392455.90001,0.023664544699695478,57.782101167315226,1.7376932175917972,2.029069841976066,75.49870928316744,67.33429071683256,0.00374427957287482,-0.02130836047774165,-0.0016592924161021058,0.01727387661190875,-0.0960579060150387,0.19372249939478214,-1.0948316591001481
ABBV,2020-06-04,90.28,93.48,90.25,93.04,73.97,9523527,0.0,1476742215.0,,,,,,,0.023664544699695478,72.88,71.719,0.10932275766826582,109234621643.55,0.008787346221441172,61.04129263913824,1.7657498814973707,1.976405849880327,75.6020476365051,67.83595236349488,-0.001657916551533467,0.00374427957287482,0.02338887988028206,0.017840647312140315,1.3109882994192845,-0.0960579060150387,0.19372249939478214
ABBV,2020-06-05,93.5,95.54,92.81,93.85,74.62,9627342,0.0,1476742215.0,,,,,,,0.008787346221441172,73.06800000000001,72.102,0.010900898375150403,110194504083.3,0.007906727418922399,61.180679785330966,1.8194609443123113,1.945016868766724,75.4878753046955,68.7161246953045,0.023664544699695478,-0.001657916551533467,0.008748962193235545,0.017318770883255855,0.5051722349242591,1.3109882994192845,-0.0960579060150387
